Title,Document Name,Ark Identifier,July,August,September,Total
"Interviews with Japanese Americans in Utah",uum_accn1209.xml,80444/xv45901,12,20,17,49
"Trent Harris independent film collection",uum_a0832.xml,80444/xv49707,11,21,16,48
"Brigham Young papers",uum_ms0566.xml,80444/xv64971,17,18,13,48
"Stephen David Durrant papers",uum_ms0608.xml,80444/xv31304,13,28,7,48
"Musser, Betty Shepherd photograph collection",uum_p0340.xml,80444/xv40219,17,23,7,47
"Utah Humanities Research Foundation records",uum_ms0044.xml,80444/xv47195,11,9,27,47
"Hotel Utah photograph collection",uum_p0283.xml,80444/xv88323,20,15,12,47
"Alton Morton independent film collection",uum_a0320.xml,80444/xv53997,13,13,21,47
"Kenneth Bitner Castleton photograph collection",uum_p0334.xml,80444/xv93087,13,17,17,47
"David Nelson papers",uum_accn2713.xml,80444/xv14035,7,16,24,47
"Jacob Myers Sr. papers",uum_accn2505.xml,80444/xv70516,17,19,10,46
"Utah Pride Center records",uum_accn1918.xml,80444/xv19549,9,23,13,45
"Karl Vernon King papers",uum_ms0199.xml,80444/xv14614,13,24,7,44
"Henry Eyring photograph collection",uum_p0250.xml,80444/xv79498,18,15,11,44
"Duane E. Jeffery papers",uum_accn1372.xml,80444/xv27096,10,15,18,43
"Marriner S. Eccles photograph collection",uum_p0178.xml,80444/xv32366,16,10,17,43
"Preston Nutter Corporation photograph collection",uum_p0289.xml,80444/xv62582,15,9,19,43
"Walter Daniel Bonner family papers",uum_ms0269.xml,80444/xv13433,9,17,17,43
"E. Richard Hart papers",uum_accn1251.xml,80444/xv46463,10,11,22,43
"Edwin Brown Firmage papers",uum_accn1074.xml,80444/xv71646,9,19,15,43
"Ivy Baker Priest photograph collection",uum_p0163.xml,80444/xv84121,15,18,9,42
"Mexican Hat Expeditions Grand Canyon river trip video",uum_a0171.xml,80444/xv92102,10,14,18,42
"Alfred Douglas Young papers",uum_ms0292.xml,80444/xv14456,23,10,9,42
"Mary Jane Mount Tanner papers",uum_ms0200.xml,80444/xv09561,10,20,12,42
"Japanese oral histories",uum_accn0806.xml,80444/xv95172,6,20,16,42
"L. John Nuttall diaries",uum_ms0631.xml,80444/xv26303,13,9,19,41
"Jewish archives",uum_ms0224.xml,80444/xv05032,4,23,14,41
"Peter Edward Gibbs oral history audio recordings",uum_a0922.xml,80444/xv65264,13,15,13,41
"Hispanic oral histories",uum_accn1369.xml,80444/xv46923,11,13,17,41
"River Boat photograph collection",uum_p0063.xml,80444/xv95962,10,11,19,40
"Lowell S. Blaisdell papers",uum_accn0656.xml,80444/xv77075,18,11,11,40
"Lowry Nelson papers",uum_ms0115.xml,80444/xv80172,15,12,13,40
"Peter L. Goss papers",uum_accn0447.xml,80444/xv20492,21,11,8,40
"Richard Wright Young papers",uum_ms0536.xml,80444/xv65921,10,16,14,40
"Reed C. Durham papers",uum_accn0444.xml,80444/xv87060,15,11,13,39
"Hope A. Hilton papers",uum_ms0584.xml,80444/xv19268,17,8,14,39
"Roy P. Full papers",uum_accn1688.xml,80444/xv07598,16,12,11,39
"Fawn McKay Brodie audio-visual collection",uum_a0026.xml,80444/xv22158,14,13,12,39
"Sonia Johnson papers",uum_ms0287.xml,80444/xv47851,15,16,8,39
"Brigham D. Madsen papers",uum_ms0671.xml,80444/xv12445,11,10,17,38
"Ashton, Evans, and Brazier architectural blueprints",uum_ms0499.xml,80444/xv15509,12,12,14,38
"University of Utah Alumni Association records",uum_acc0508.xml,80444/xv49716,19,5,14,38
"Rocky Mountain Power Company records",uum_ms0206.xml,80444/xv10003,14,14,10,38
"David J. Buerger papers",uum_ms0622.xml,80444/xv54592,7,16,15,38
"University of Utah basketball films collection",uum_a0002.xml,80444/xv48165,10,17,11,38
"Isaac Bullock family papers",uum_ms0005.xml,80444/xv30215,16,14,8,38
"Helen B. Andelin audio collection",uum_a0754.xml,80444/xv08261,9,14,14,37
"YourStory oral history project audio recordings",uum_a0902.xml,80444/xv96380,19,9,9,37
"Ethnic archives oral histories audio recordings",uum_a0853.xml,80444/xv66183,5,20,12,37
"Eugene England papers",uum_accn2426.xml,80444/xv08175,9,18,10,37
"Wataru Misaka papers",uum_accn2761.xml,80444/xv01376,13,17,7,37
"Frederick Herzberg papers",uum_accn1592.xml,80444/xv73168,14,10,13,37
"William Dawson photograph collection",uum_p0031.xml,80444/xv92138,10,18,9,37
"Henry Eyring papers",uum_ms0477.xml,80444/xv12634,7,18,11,36
"Voices of American homemakers oral history project audio recordings",uum_a0138.xml,80444/xv95971,10,12,14,36
"Dean R. Brimhall papers",uum_ms0114.xml,80444/xv80871,15,11,10,36
"Bamberger Family photograph collection",uum_p0225.xml,80444/xv35751,11,9,16,36
"Wallace Parker drawings",uum_accn2519.xml,80444/xv56979,11,12,13,36
"J. Bracken Lee papers",uum_ms0037.xml,80444/xv79589,26,4,6,36
"McCammon Investment Company records",uum_accn1962.xml,80444/xv30258,19,2,15,36
"Maud May Babcock photograph collection",uum_p0083.xml,80444/xv02252,18,8,10,36
"Alta Club photograph collection",uum_p0254.xml,80444/xv62234,11,16,9,36
"Lowell Lindsay Bennion papers",uum_accn1065.xml,80444/xv36557,8,8,20,36
"Alf Engen ski video collection",uum_a0391.xml,80444/xv37814,9,9,18,36
"Utah Postcards photograph collection",uum_p0591.xml,80444/xv33377,18,9,9,36
"African American oral history project",uum_accn2840.xml,80444/xv32818,11,15,9,35
"Alberta Hunt Nicholson papers",uum_accn1017.xml,80444/xv89212,18,6,11,35
"Willem J. Kolff audio-visual collection",uum_a0333.xml,80444/xv57766,21,6,8,35
"William Henry Chamberlin papers",uum_accn0846.xml,80444/xv16723,4,5,26,35
"Edward G. Lueders papers",uum_accn1207.xml,80444/xv31280,14,11,10,35
"Parker M. Nielson papers",uum_accn1642.xml,80444/xv92071,7,11,16,34
"Tom McCarty autobiography",uum_ms0090.xml,80444/xv35775,10,13,11,34
"Allen Publishing Company photograph collection",uum_p0021.xml,80444/xv14935,8,12,14,34
"Ivy Baker Priest papers",uum_ms0163.xml,80444/xv78616,11,6,17,34
"Andrew Wood Cooley family papers",uum_ms0567.xml,80444/xv88366,13,18,3,34
"Rick Reese mountaineering audio collection",uum_a0151.xml,80444/xv90350,9,10,15,34
"Louis S. Goodman audio-visual collection",uum_a0310.xml,80444/xv60766,7,9,18,34
"Thatcher family papers",uum_ms0538.xml,80444/xv06680,11,11,11,33
"Ogden Regional Family History Center records",uum_accn2491.xml,80444/xv04617,7,16,10,33
"Frank B. Salisbury papers",uum_accn1778.xml,80444/xv35620,9,13,11,33
"Alf Engen papers",uum_accn1006.xml,80444/xv43640,10,16,7,33
