Title,Document Name,Ark Identifier,July,August,September,Total
"Happy Home Church (Deer Park, Wash.) Records",wtv8.xml,80444/xv64982,1,3,0,4
"Synod of Alaska/Northwest Records",wtv102.xml,80444/xv06167,2,0,2,4
"Ralph Waldo Orr Papers",wtv96.xml,80444/xv09245,3,0,1,4
"First Presbyterian Church (Sandpoint, ID) Records",wtv75.xml,80444/xv20533,0,0,4,4
"Eaton (Philip W.) Papers",wtv24.xml,80444/xv43436,0,3,1,4
"Academic Programs: Model United Nations Records",wtv85.xml,80444/xv48575,0,0,4,4
"Admissions & Enrollment Services Records",wtv49.xml,80444/xv67729,0,0,3,3
"Whitworth College Women in Transition Program Records",wtv19.xml,80444/xv46514,0,2,1,3
"Alumni Scrapbooks Collection",wtvj14.xml,80444/xv06872,0,0,3,3
"Heritage (Ruby E.) Papers",wtv120.xml,80444/xv87572,0,1,2,3
"Northwood Presbyterian Church (Spokane, Wash.) Records",wtvnpcsp.xml,80444/xv50021,0,3,0,3
"Tavener (Thomas) Papers",wtvgcn3ta.xml,80444/xv54393,1,0,2,3
"Whitworth College Student Government Records",wtv29.xml,80444/xv07184,0,1,2,3
"Colbert Presbyterian Church (Colbert, WA) Records",wtv63.xml,80444/xv26688,0,0,2,2
"Academic Programs: Politics/History Department Records",wtv92.xml,80444/xv78329,2,0,0,2
"William P. Robinson Papers",wtv90.xml,80444/xv12324,1,0,1,2
"Academic Affairs: Weeksworth Records",wtv41.xml,80444/xv05141,0,1,1,2
"Opportunity Presbyterian Church (Spokane, WA) Records",wtv91.xml,80444/xv45158,0,0,2,2
"Academic Programs: School of Education Records",wtv47.xml,80444/xv02065,0,0,2,2
"Presidential Inauguration Records",wtv95.xml,80444/xv76621,0,0,2,2
"Alumni Biographies: Special Programs",wtvj15sp.xml,80444/xv81719,0,0,1,1
"Office of College Communications Records",wtv88.xml,80444/xv46866,1,0,0,1
"Buildings/Building Dedications: Johnston Science Center Records",wtv60.xml,80444/xv28399,1,0,0,1
"Houser (Frank A.) Papers",wtvn3h.xml,80444/xv03509,1,0,0,1
"Boppell (Rev. Charles J.) Papers",wtvpnwpccjb.xml,80444/xv26350,0,1,0,1
"Acme Presbyterian Church (Acme, Wash.) Records",wtvacme.xml,80444/xv39544,0,0,1,1
"Whitworth College Library Records",wtv15.xml,80444/xv15392,0,1,0,1
"Academic Programs - General",wtvd10g.xml,80444/xv50878,0,0,1,1
"Lidgerwood Presbyterian Church (Spokane, WA) Records",wtv82.xml,80444/xv50286,0,0,0,0
"Student Life Records",wtv100.xml,80444/xv40370,0,0,0,0
"Whitworth College Ragged Ridge Program Records",wtv18.xml,80444/xv13683,0,0,0,0
"Ferguson (Duncan) Papers",wtvn3f.xml,80444/xv46829,0,0,0,0
"Tiffany (Orrin E.) Papers",wtv11.xml,80444/xv84134,0,0,0,0
"Whitworth College Auxiliary Records",wtv13.xml,80444/xv49935,0,0,0,0
"Whitworth College Faculty Committees Records",wtv23.xml,80444/xv10604,0,0,0,0
"Course Schedules",wtv62.xml,80444/xv94061,0,0,0,0
"Dr. Robert L. Welsh",wtvrlw.xml,80444/xv51757,0,0,0,0
"Whitworth College Board of Trustees Records",wtv21.xml,80444/xv45147,0,0,0,0
"Business Office Church Gifts Records",wtvb7.xml,80444/xv08233,0,0,0,0
"Business Office Records",wtv61.xml,80444/xv61229,0,0,0,0
"Buildings/Building Dedications: Athletic Facilities Records",wtv59.xml,80444/xv95771,0,0,0,0
"Commencement Bulletins",wtv65.xml,80444/xv92693,0,0,0,0
"Departmental Publications & Internal Notices Records",wtv69.xml,80444/xv23612,0,0,0,0
"First Presbyterian Church (Clarkston, WA) Records",wtv74.xml,80444/xv87905,0,0,0,0
"Whitworth Institute of Ministry II (Spokane, Wash.) Records",wtvb622.xml,80444/xv03311,0,0,0,0
"Faculty Records - General",wtvd1.xml,80444/xv98861,0,0,0,0
"Business Office: Presbyterian Church Board Records",wtvb7pcb.xml,80444/xv63815,0,0,0,0
,,Totals,575,345,521,1441
