Title,Document Name,Ark Identifier,July,August,September,Total
"First Lutheran Church, Mount Vernon, Washington, Records",opvelca7a5_339.xml,80444/xv38336,5,1,0,6
"Burlington Lutheran Church, Burlington, Washington, Records",opvelca7a5_276.xml,80444/xv21508,2,2,2,6
"First Lutheran Church, South Bend, Washington, Records",opvelca7a5_395.xml,80444/xv56231,3,3,0,6
"Gloria Dei Lutheran Church, Olympia, Washington, Records",opvelca7a5_345.xml,80444/xv26132,2,1,3,6
"American Lutheran Church, Livingston, Montana, Records",opvelca7a3_112.xml,80444/xv86880,3,0,2,5
"Immanuel Lutheran Church, Moses Lake, Washington, Records",opvelca7a5_336.xml,80444/xv85791,4,0,1,5
"American Lutheran Church, Baker, Montana, Records",opvelca7a3_58.xml,80444/xv02960,0,2,3,5
"Christ Lutheran Church, Salem, Oregon, Records",opvelca7a4_232.xml,80444/xv53332,0,2,3,5
"Trinity Lutheran Church, Kirkland, Washington, Records",opvelca7a5_318.xml,80444/xv08615,5,0,0,5
"Grace Lutheran Church, Fairfield, Montana, Records",opvelca7a3_81.xml,80444/xv86840,5,0,0,5
"Zion Lutheran Church, Glendive, Montana, Records",opvelca7a3_87.xml,80444/xv01788,5,0,0,5
"First Lutheran Church, Saint Helens, Oregon, Records",opvelca7a4_243.xml,80444/xv08276,5,0,0,5
"Immanuel Lutheran Church, Absarokee Mont., Records",opvelca7a3_56.xml,80444/xv92916,3,0,2,5
"Local Histories: Adams County, Washington (State)?",opvnpc1_1.xml,80444/xv14724,0,2,3,5
"Immanuel Lutheran Church, Westby, Montana, Records",opvelca7a3_139.xml,80444/xv19787,4,1,0,5
"Atonement Lutheran Church, Beaverton, Oregon, Records",opvelca7a4_152.xml,80444/xv72232,0,1,4,5
"Gethsemane Lutheran Church, Seattle, Washington, Records",opvelca7a5_376.xml,80444/xv54452,5,0,0,5
"Macksburg Lutheran Church, Canby, Oregon, Records",opvelca7a4_160.xml,80444/xv11322,2,0,3,5
"Scandinavian Lutheran Church Records",opvelca7_8.xml,80444/xv81069,4,0,1,5
"St. Mark's Lutheran Church, Portland, Oregon, Records",opvelca7a4_226.xml,80444/xv37905,4,0,1,5
"Peace Lutheran Church",opv7_15.xml,80444/xv85173,0,1,4,5
"Christ the King Lutheran Church, Sumner, Washington, Records",opvelca7a5_409.xml,80444/xv74041,0,0,5,5
