Title,Document Name,Ark Identifier,July,August,September,Total
"Northwest Conference Archives",olpb038nwc.xml,80444/xv50854,0,5,0,5
"Pacific Northwest Political Science Association Collection",olpb039psa.xml,80444/xv32345,3,1,1,5
"Kuan, Fan/Guo Xi Hanging Scrolls",olpb162fan.xml,80444/xv26327,0,1,4,5
"Langley Harvey (Manche) Collection",olpb019lan.xml,80444/xv80730,0,1,3,4
"Davis, Charles E. Collection",olpb161dav.xml,80444/xv61386,2,0,2,4
"Wilson (Fred O.) Collection",olpa134wil.xml,80444/xv47915,0,3,1,4
"Chuinard (Eldon) Publication Files for Only One Man Died",olpb014chu.xml,80444/xv91670,0,2,2,4
"Amish Diaries Collection",olpb163ami.xml,80444/xv81225,0,0,4,4
"U.S. Intelligence on the Philippines Collection",olpb154phi.xml,80444/xv61602,0,0,4,4
"Albany College Bookplate Collection",olpa139alb.xml,80444/xv60638,0,0,3,3
"Linn County, Oregon Postcard Collection",olpb158lin.xml,80444/xv13317,3,0,0,3
"Albany College (Oregon) Yearbook Collection",olpa083alb.xml,80444/xv62860,2,0,1,3
"Stafford (William E.) Archives Series 11: Stafford Archives Administrative Files",olpb128sta.xml,80444/xv82003,0,0,3,3
"Baker (Raymond J.) Administrative Records of Albany College",olpa071bak.xml,80444/xv74334,0,3,0,3
"Spokane, Washington Herbarium",olpb152spo.xml,80444/xv04763,2,1,0,3
"Lewis & Clark College Yearbook Collection",olpa084lew.xml,80444/xv69281,2,0,1,3
"Linn (Lewis F.) Letter",olpb059lin.xml,80444/xv61013,0,2,1,3
"Halladay School of Flying Photograph Collection",olpb158hal.xml,80444/xv71932,0,2,1,3
"Miller (O. K.) Correspondence",olpb040mil.xml,80444/xv64086,0,0,2,2
"Hugo (Richard) Collection",olpb140hug.xml,80444/xv24136,0,0,2,2
"Crescent City, California Logging and Mining Photography Collection",olpb054cre.xml,80444/xv66842,2,0,0,2
"Nineteenth Century Political Photograph Collection",olpb155nin.xml,80444/xv15167,0,0,1,1
"Family Farm and Church Account Ledger",olpb041fam.xml,80444/xv68151,0,0,1,1
