Title,Document Name,Ark Identifier,July,August,September,Total
"Eastern Washington University University Dames Records",wea_spc9940367.xml,80444/xv00369,0,0,0,0
"McPherson (J. Gordon) Papers",wea_spc9790085.xml,80444/xv08489,0,0,0,0
"Brock (Randall) Papers",wea_spc9850242.xml,80444/xv53671,0,0,0,0
"Alkire (Leland G.) Papers",wea_spc9870278.xml,80444/xv05471,0,0,0,0
"Cheney Land and Water Company Records",wea_spc9780066.xml,80444/xv24847,0,0,0,0
"Deutsch (Herman) Newsclipping and Pamphlet File",wea_spc9800110.xml,80444/xv84317,0,0,0,0
"Bonneville Cultural Resources Group Reports",wea_spc9820161.xml,80444/xv22912,0,0,0,0
"Kabat (George) Papers",wea_spc9950377.xml,80444/xv72915,0,0,0,0
"Davis (Mary Ann Cashup) letter to William A. Davis",wea_spc9800131.xml,80444/xv49957,0,0,0,0
"Robertson (Emma) Scrapbook Collection",wea_spc9780061.xml,80444/xv92941,0,0,0,0
"Herbert Gunderson Collection of Eastern Washington State College Academic Senate Minutes",wea_spc9810155.xml,80444/xv94238,0,0,0,0
"Evangelical Lutheran Church in America, Eastern Washington/Idaho Synod Records",wea_spc9870265.xml,80444/xv85980,0,0,0,0
"Lutheran Campus and Young Adult Ministries Records",wea_spc9970430.xml,80444/xv35131,0,0,0,0
"Bonners Ferry Historical Society Interview Transcripts",wea_spc9780048.xml,80444/xv81707,0,0,0,0
"Christian (George E.) Papers",wea_spc9950385.xml,80444/xv47525,0,0,0,0
"Reimers (Henry L.) Papers",wea_spc9820176.xml,80444/xv83126,0,0,0,0
"Opendack (Byron) Literary Manuscripts",wea_spc9860256.xml,80444/xv42968,0,0,0,0
"Fitzpatrick (Ben) Papers",wea_spc9970041.xml,80444/xv59698,0,0,0,0
"Cheney Pioneer Bridge Club Scrapbook",wea_spc9800115.xml,80444/xv21310,0,0,0,0
"Williamson (Obed) Papers",wea_spc9830202.xml,80444/xv13327,0,0,0,0
"Garner (Frank) Papers",wea_spc9970442.xml,80444/xv31347,0,0,0,0
"Correspondence to George P. Lakin",wea_spc9870276.xml,80444/xv82641,0,0,0,0
"Links Inc. Spokane Chapter Records",wea_spc9790081.xml,80444/xv61053,0,0,0,0
"Maxey (Carl) interview",wea_spc9800112.xml,80444/xv27828,0,0,0,0
"Spangle (J.F.) Papers",wea_spc9970455.xml,80444/xv43359,0,0,0,0
"Bonneville Cultural Resources Group Computer Printout on Cultural Sites",wea_spc9830211.xml,80444/xv42666,0,0,0,0
"Morrell Family Genealogy",wea_spc9810154.xml,80444/xv37924,0,0,0,0
"Ludwig (Albert) Papers",wea_spc9850239.xml,80444/xv55194,0,0,0,0
"Dalling (William) Papers",wea_spc9820182.xml,80444/xv82540,0,0,0,0
"Kingston (Ceylon Samuel) Papers",wea_spc9820169.xml,80444/xv48855,0,0,0,0
"Stowe (Linda) Papers",wea_spc9850235.xml,80444/xv74380,0,0,0,0
"Bankson (Russell Arden) Papers",wea_spc9970434.xml,80444/xv62533,0,0,0,0
"Stafford (Sybil) interview",wea_spc9800111.xml,80444/xv34158,0,0,0,0
"Dryden (Cecil) Papers",wea_spc9790089.xml,80444/xv18734,0,0,0,0
"Watson (William G.) Diaries",wea_spc9750021.xml,80444/xv85400,0,0,0,0
"Parr (Edward) Papers",wea_spc9840218.xml,80444/xv92889,0,0,0,0
"Osborne (Josiah) Papers",wea_spc9970468.xml,80444/xv56918,0,0,0,0
"Lake (Sylvester) and Pauline E. Lake Interview Transcript",wea_spc9800105.xml,80444/xv68121,0,0,0,0
"Low (Eric) Scrapbooks",wea_spc9960417.xml,80444/xv63662,0,0,0,0
"Walton (Susan Gregg) Papers",wea_spc9970459.xml,80444/xv49224,0,0,0,0
"Barrows (Larry) Photograph Collection",wea_spc9780076.xml,80444/xv01779,0,0,0,0
"Christopher (Steven B.) Papers",wea_spc9820172.xml,80444/xv19613,0,0,0,0
"Reimers (Henry) Papers",wea_spc9970454.xml,80444/xv80783,0,0,0,0
"Quillen (Roger) Papers",wea_spc9970453.xml,80444/xv38668,0,0,0,0
"Green (Michael K.) Papers",wea_spc9790094.xml,80444/xv33645,0,0,0,0
"Washington Utilities and Transportation Commission Annual Reports",wea_spc9780165.xml,80444/xv81503,0,0,0,0
"Rea (Jay) Papers",wea_spc9810157.xml,80444/xv50076,0,0,0,0
"Schadegg (Francis) Papers",wea_spc9900334.xml,80444/xv72363,0,0,0,0
"Livingston (Louis) Papers",wea_spc9850234.xml,80444/xv58068,0,0,0,0
"Herold (Robert) Papers",wea_spc9890307.xml,80444/xv32635,0,0,0,0
"Chambers (Andrew Stutz) Papers",wea_spc9970438.xml,80444/xv89526,0,0,0,0
"Kennedy (Kenneth K.) Papers",wea_spc9830185.xml,80444/xv52819,0,0,0,0
"Gomberg (Pamela Bradford) Papers",wea_spc9850229.xml,80444/xv50720,0,0,0,0
"Case Family Genealogical Collection",wea_spc9770039.xml,80444/xv87008,0,0,0,0
"St. Peter Lutheran Church Records",wea_spc9900320.xml,80444/xv24835,0,0,0,0
"Shuck (Emerson) Papers",wea_spc9830208.xml,80444/xv78204,0,0,0,0
"Northwest Angling Center Collection",wea_spc9800130.xml,80444/xv01705,0,0,0,0
"National Association for the Advancement of Colored People, Spokane Branch Records",wea_spc9790092.xml,80444/xv73471,0,0,0,0
