Title,Document Name,Ark Identifier,July,August,September,Total
"Joseph (Nannine) Papers",oru_ax821.xml,80444/xv78332,2,3,4,9
"Bratton (Helen) Papers",oru_ax614.xml,80444/xv38997,4,4,1,9
"Love Without Lovers play script",oru_coll435.xml,80444/xv34625,4,4,1,9
"McCollach (C. C.) letters and scrapbook",oru_a075.xml,80444/xv57070,6,0,3,9
"Elarth (Harold Hanne) papers",oru_ax286.xml,80444/xv09127,5,0,4,9
"The University Teaching and Learning Center records",oru_ua159.xml,80444/xv33087,0,5,4,9
"Department of Psychology records",oru_ua069.xml,80444/xv03555,0,5,4,9
"Student orations",oru_ua130.xml,80444/xv17639,0,5,4,9
"Russell (Silas) diary",oru_a283.xml,80444/xv83551,0,2,7,9
"Guide to the Museum of Natural and Cultural History records",oru_ua119.xml,80444/xv07226,0,5,4,9
"Moment (Samuel) Papers",oru_coll193.xml,80444/xv66698,0,4,4,8
"Biddle (Henry J.) papers",oru_ax645.xml,80444/xv30789,5,1,2,8
"Faricy (William T.) papers",oru_coll030.xml,80444/xv91387,1,3,4,8
"Bill Devall papers",oru_coll375.xml,80444/xv48385,8,0,0,8
"Phelps (Naomi) papers",oru_ax222.xml,80444/xv15752,2,5,1,8
"Nebel (Frederick) papers",oru_ax355.xml,80444/xv62301,3,0,5,8
"Portland Lone Fir Cemetary Co. records",oru_b147.xml,80444/xv84106,5,2,1,8
"Darst (Paul) diary",oru_a026.xml,80444/xv72329,6,2,0,8
"Thompson (Robert) letter to William and Thomas Stephens",oru_ca1852apr14.xml,80444/xv06784,2,3,3,8
"Brogan (Philip) papers",oru_coll454.xml,80444/xv16955,3,0,5,8
"Orchesis records",oru_ua176.xml,80444/xv18478,0,4,4,8
"Horsefeldt (Alva Arthur) papers",oru_ax050.xml,80444/xv70581,5,3,0,8
"Parents and Friends of Gays and Lesbians (PFLAG) of Grants Pass, Oregon records",oru_coll417.xml,80444/xv14459,2,3,3,8
"McCall (Virginia Nielsen) papers",oru_ax348.xml,80444/xv45620,4,1,3,8
"Information Technology records",oru_ua164.xml,80444/xv22830,0,4,4,8
"Geary (Edward R.) letter to John McLellan",oru_ca1851apr17.xml,80444/xv10299,2,6,0,8
"Redington (John W.) papers",oru_ax093.xml,80444/xv97079,8,0,0,8
"Angell (Homer) papers",oru_ax001.xml,80444/xv19897,8,0,0,8
"Howe family papers",oru_ax051.xml,80444/xv49893,1,2,5,8
"Wolcott-Gibbs family papers",oru_ax277.xml,80444/xv20178,0,3,5,8
"Tugman (William M.) papers",oru_ax607.xml,80444/xv02383,2,6,0,8
"Holmes (Robert Denison) papers",oru_ax048.xml,80444/xv50442,0,4,4,8
"Sisley (Becky) faculty papers",oru_ua230.xml,80444/xv31414,6,2,0,8
"Hanson (Irene Forsythe) papers",oru_coll028.xml,80444/xv30790,3,3,2,8
"Starkweather (Harvey Gordon) papers",oru_cbst28h.xml,80444/xv50329,4,0,4,8
"Johnson (Avery) papers",oru_ax820.xml,80444/xv13943,1,5,2,8
"Eugene Fruit Growers Association records",oru_coll413.xml,80444/xv90682,6,0,2,8
"Mu Phi Epsilon. Nu Chapter records",oru_ua168.xml,80444/xv31634,0,4,4,8
"Packwood (William H.) papers",oru_ca1915jan24.xml,80444/xv59585,8,0,0,8
"League of Women Voters of Oregon Records",oru_bx173.xml,80444/xv81061,1,1,6,8
"Blocklinger (Peggy O'More) Papers",oru_ax297.xml,80444/xv74228,2,5,1,8
"Hirsch (Harold S.) Interviews",oru_coll426.xml,80444/xv10092,3,5,0,8
