Title,Document Name,Ark Identifier,July,August,September,Total
"Bovee (Robert C.) oral history interviews",xoe_cpnws0307bovee.xml,80444/xv78063,0,9,9,18
"Washington State Normal School Off-Campus Housing photographs",xoe_cpnws0092wsnsphotos.xml,80444/xv23284,5,2,11,18
"Bellingham Herald regional development drawings and maps",xoe_cpnws0088bhamheralddrawingsandmaps.xml,80444/xv80102,0,6,12,18
"Sullivan, Michael papers",xoe_cpnws0055michaelsullivan.xml,80444/xv87563,6,4,8,18
"Miller and Sons Records",xoe_cpnws0146millerandsons.xml,80444/xv47554,9,0,9,18
"Washington Pioneers Project: Whatcom County materials",xoe_cpnws0306wapioneerswhatcom.xml,80444/xv17089,1,5,11,17
"Washington State Harbor Line Commission maps",xoe_cpnws0254wastateharborline.xml,80444/xv56449,3,10,4,17
"Collection of Oral History Interviews on Whatcom County (Wash.) and Regional History",xoe_cpnws0289colloforalhistory.xml,80444/xv72207,1,9,7,17
"Northwest Women's Studies Association 1984 conference records",xoe_cpnws0215nwwsconf.xml,80444/xv10620,1,7,9,17
"Southwestern Alaska Cannery logbooks",xoe_cpnws0070swalogbooks.xml,80444/xv99198,0,9,7,16
"Whatcom Family YMCA records",xoe_cpnws0285ymca.xml,80444/xv21223,4,6,6,16
"World War II Carpetbagger Project manuscript",xoe_cpnws0326carpetbagger.xml,80444/xv68533,4,7,5,16
"Whatcom Human Rights Task Force records",xoe_cpnws0286whrtf.xml,80444/xv75605,1,7,8,16
"Bright (Norman) Papers",xoe_sc0009brightn.xml,80444/xv16360,6,3,7,16
"Trillium Corporation appraisal of the future Bellis Fair Mall site",xoe_cpnws0246trillium.xml,80444/xv61236,9,1,6,16
"Herre (Albert W.) Papers",xoe_sc0007herrea.xml,80444/xv48403,0,9,7,16
"Friday (W.R.(Bill))Papers",xoe_cpnws0010friday.xml,80444/xv17793,2,11,3,16
"Ross (Esther Ruth) last will and testament",xoe_cpnws0048ross.xml,80444/xv13082,2,4,10,16
"Edson (Lelah Jackson) scrapbooks",xoe_cpnws0140edson.xml,80444/xv90100,4,6,6,16
